web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data,title,data3,rating2,data4,data5,title2
1756053991-533,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4.1,,,112 Reviews,Free Delivery,₹415,Trendy Boxers
1756053991-534,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,7% off,₹242,,Free Delivery,₹226,Classy Gym Vests
1756053991-535,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,2% off,₹330,660 Reviews,Free Delivery,₹323,Classic Gym Vests
1756053991-536,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,9% off,₹436,23 Reviews,Free Delivery,₹398,Urbane Top & Bottom Fabric
1756053991-537,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,4% off,₹229,2597 Reviews,Free Delivery,₹220,Tees Collection Stylish Fancy Fabulous Sleeveless Cutsleeves Hooded Men's  Tshirt
1756053991-538,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,7% off,₹254,58 Reviews,Free Delivery,₹237,Trendy Gym Vests
1756053991-539,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,6% off,₹360,143 Reviews,Free Delivery,₹339,Trendy Designer Men Raincoats
1756053991-540,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,6% off,₹233,2162 Reviews,Free Delivery,₹219,Trendy Gym Vests
1756053991-541,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,7% off,₹222,432 Reviews,Free Delivery,₹207,Stylish Gym Vests
1756053991-542,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4.3,5% off,₹427,139 Reviews,Free Delivery,₹407,Classy Top & Bottom Fabric
